model,strategy,knob,knob_val,seed,n,leaf_acc,pillar_acc,hier_f1,mean_tokens
gpt-4.1-nano,self_consistency,n,4,13,300,0.1667,0.3133,0.24,6246.7
gpt-4.1-nano,self_consistency,n,4,42,300,0.16,0.3067,0.2333,6243.1
gpt-4.1-nano,self_consistency,n,4,1337,300,0.17,0.33,0.25,6250.0
gpt-4.1-nano,self_consistency,n,4,2025,300,0.1633,0.3267,0.245,6246.1
gpt-4.1-nano,self_consistency,n,4,31415,300,0.17,0.3133,0.2417,6243.8
gpt-4.1-nano,mcts_tax,iterations,8,13,300,0.2233,0.4067,0.315,6693.0
gpt-4.1-nano,mcts_tax,iterations,8,42,300,0.2233,0.4,0.3117,6675.1
gpt-4.1-nano,mcts_tax,iterations,8,1337,300,0.2233,0.4067,0.315,6696.3
gpt-4.1-nano,mcts_tax,iterations,8,2025,300,0.2233,0.4,0.3117,6718.1
gpt-4.1-nano,mcts_tax,iterations,8,31415,300,0.22,0.3967,0.3083,6691.3
gpt-4.1-nano,mcts_reason,iterations,2,13,300,0.35,0.5033,0.4267,5256.1
gpt-4.1-nano,mcts_reason,iterations,2,42,300,0.35,0.51,0.43,5257.2
gpt-4.1-nano,mcts_reason,iterations,2,1337,300,0.3533,0.5067,0.43,5258.3
gpt-4.1-nano,mcts_reason,iterations,2,2025,300,0.3433,0.5,0.4217,5255.7
gpt-4.1-nano,mcts_reason,iterations,2,31415,300,0.3433,0.5,0.4217,5256.4
gpt-4.1-nano,mcts_reason,iterations,4,13,300,0.3367,0.4767,0.4067,8533.0
gpt-4.1-nano,mcts_reason,iterations,4,42,300,0.3533,0.5,0.4267,8535.7
gpt-4.1-nano,mcts_reason,iterations,4,1337,300,0.3467,0.4967,0.4217,8565.1
gpt-4.1-nano,mcts_reason,iterations,4,2025,300,0.3433,0.49,0.4167,8554.5
gpt-4.1-nano,mcts_reason,iterations,4,31415,300,0.3433,0.49,0.4167,8541.7
gpt-4.1-nano,mcts_reason,iterations,6,13,300,0.3333,0.4833,0.4083,11320.7
gpt-4.1-nano,mcts_reason,iterations,6,42,300,0.3433,0.4933,0.4183,11403.1
gpt-4.1-nano,mcts_reason,iterations,6,1337,300,0.3367,0.49,0.4133,11399.5
gpt-4.1-nano,mcts_reason,iterations,6,2025,300,0.34,0.4867,0.4133,11382.1
gpt-4.1-nano,mcts_reason,iterations,6,31415,300,0.3367,0.4833,0.41,11391.0
